,pos,year,player_name,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,porpag,adjoe,pfr,Rec Rank,adrtg,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,unk,ast/tov,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),drtg,dporpag,stops,bpm,obpm,dbpm,gbpm,rating,test_score,diff,
44385,C,2015,willie cauley stein,115.8,18.3,57.2,58.79,11.1,17.3,7.4,16.2,0.617,135,236,0.572,0,0,0,7.1,2.9,54.2,2.78798,118.634,3.1,91.6,74.9298,25.9487,5.07159,6.25944,2.2821,4.1538,6.4359,0.9744,1.2051,1.7179,8.9487,0,0.79168017,0.7518,0.3125,79.0904,4.67976,235.411,12.7451,4.42742,8.31771,11.331,38.29,39.12424378,0.834243782,
20853,C,2014,jerami grant,115.6,21.4,49.6,54.74,9.1,17.2,9.4,11.3,0.674,133,263,0.506,0,5,0,2.5,1.7,66.4,3.74525,122.944,3,90.6,92.424,31.4062,3.38554,1.83139,2.4375,4.3438,6.7812,1.375,0.8125,0.5625,12.0625,0.326018,1.18924056,0.6822,0.3333,97.8648,4.02905,166.665,4.63048,2.57061,2.05987,5.21693,35.63,36.34839976,0.718399762,
23879,C,2015,josh smith,101.6,16.5,52,55.49,11.7,20.8,2.9,22.2,0.622,26,50,0.52,0,0,0,2.2,1.5,74,0.424566,100.291,3.9,57.2,90.5919,9.5484,-0.348933,1.71179,0.9677,1.7419,2.7097,0.129,0.2258,0.1935,2.4194,0,0.23522975,0.5806,0.4211,95.3781,1.20989,57.3555,-0.0602894,-1.62079,1.5605,1.36285,36.73,37.30468084,0.574680837,
12244,C,2013,dewayne dedmon,96.5,19,50,52.44,11.7,24.2,5.8,22.2,0.681,88,173,0.509,0,3,0,10,2.9,26.7,1.14207,100.248,5.4,48.6,84.1827,22.2903,-0.0909662,4.94535,2.2581,4.7097,6.9677,0.6129,1.0968,2.129,6.7097,0.25813,0.38776415,0.6667,0.3939,88.5165,3.1758,183.119,7.28103,-0.624662,7.90569,4.85438,38.85,39.34162301,0.491623007,
44386,C,2014,willie cauley stein,118.9,14.9,59.6,57.95,12.6,16.3,5.7,14.2,0.482,106,178,0.596,0,0,0,12.3,3,46.6,2.32829,116.807,4.5,91.6,85.7359,23.7838,4.0976,7.03824,2.5405,3.5405,6.0811,0.6757,1.1892,2.8649,6.8108,0,0.80651705,0.7281,0.3651,90.5407,3.5906,219.809,13.6395,3.88666,9.75286,11.1358,38.29,38.45635922,0.16635922,
19496,C,2010,jamychal green,101.7,29.4,49.5,54.09,11.9,18.5,9.3,19.4,0.695,162,322,0.503,0,5,0,6.8,2,50.2,2.9825,117.557,4.6,97.4,89.8915,27,2.2648,1.72935,2.7742,4.3871,7.1613,1.0645,0.871,1.6774,14.129,0.360474,0.41771308,0.596,0.4211,94.4698,3.4303,175.499,4.28597,0.560749,3.72522,3.99415,31.78,31.88612198,0.106121977,
30558,C,2013,mason plumlee,113.1,25.1,59.9,62.8,9.8,23.3,11.5,19.2,0.681,221,369,0.599,0,0,0,4,1.7,68.8,4.94503,126.353,2.9,94.8,84.9855,34.6667,5.39624,3.0227,2.75,7.2222,9.9722,1.9444,1,1.4444,17.0833,0,0.67959875,0.7412,0.3688,90.9172,4.9222,282.551,8.66358,3.98273,4.68084,8.41895,36.05,35.98062643,-0.069373569,
30560,C,2011,mason plumlee,103.7,17.2,59.3,56.82,11.2,23.8,10.5,24.7,0.441,112,187,0.599,0,2,0,5.8,2,49.2,1.65048,104.806,4,94.8,80.9889,25.6486,2.23207,4.80505,2.4595,5.8919,8.3514,1.5676,0.8919,1.6757,7.1622,0.119641,0.81692636,0.748,0.3125,85.1714,4.08853,243.473,8.83795,1.79522,7.04274,7.03711,36.05,35.86636508,-0.183634915,
27958,C,2010,larry sanders,112.8,26.1,54,56.35,13.1,25.2,7.7,13.8,0.641,192,351,0.547,4,16,0.25,9.1,1.6,45.5,3.51395,123.657,4.4,29.4,88.9952,26.8857,4.31436,2.02299,3.0286,6.0857,9.1143,0.9714,0.7429,2.5714,14.3714,0.997726,0.58620484,0.6884,0.3618,89.8001,3.47458,228.258,6.40892,2.22981,4.17911,6.33735,36.02,35.8227079,-0.197292098,
41684,C,2013,tony parker,96.7,19.7,54.1,52.49,6.5,13.8,0.9,14.1,0.438,33,61,0.541,0,0,0,4.1,0.6,52.5,0.339754,101.091,10.4,95.4,95.4459,6.2727,-5.32275,0.145565,0.3636,0.8182,1.1818,0.0303,0.0606,0.2727,2.4242,0,0.1,0.5909,0.4444,99.5436,0.653063,37.3391,-3.45789,-2.47459,-0.983296,-5.17719,30.6,30.33820013,-0.261799866,
