player_name,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact,multiplier,pt_rating,raptor_rating,war_rating,total_score
elfrid payton,2019.5,3062.5,1461.67,-0.91,-0.46,-1.37,0.31,-2.2,-1.89,-0.68,-0.85,-1.54,1.27,1.28,-0.01,-1.3,-0.62,-1.92,0.05,1.0,0.35,0.37,0.17,31.28
eric bledsoe,2018.0,4226.44,2008.67,1.52,0.96,2.48,0.66,0.73,1.39,1.44,0.97,2.4,5.45,5.1,0.35,1.33,1.26,2.59,0.79,1.0,0.62,0.62,0.33,54.62
eric paschall,2022.0,1569.0,760.0,0.73,-2.59,-1.86,-1.82,-2.91,-4.73,0.19,-2.85,-2.66,0.04,-0.01,0.05,-0.02,-3.99,-4.01,-0.61,1.0,0.24,0.31,0.12,23.49
evan turner,2016.5,4549.83,2203.67,-1.58,0.21,-1.37,-3.37,0.14,-3.24,-2.04,0.2,-1.84,0.92,0.74,0.18,-2.01,-0.04,-2.05,-0.0,1.0,0.36,0.37,0.16,31.11
frank jackson,2021.5,1994.0,951.0,-0.62,-2.29,-2.91,-1.4,1.04,-0.36,-0.75,-1.71,-2.46,-0.02,-0.02,0.0,-1.58,-2.08,-3.66,0.14,1.0,0.26,0.32,0.12,24.58
frank kaminsky,2019.5,2169.25,1037.5,-0.49,-0.73,-1.22,-0.58,-0.91,-1.49,-0.56,-0.8,-1.36,0.69,0.71,-0.01,-0.66,-1.02,-1.68,-0.26,1.0,0.38,0.4,0.15,33.22
fred vanvleet,2021.0,4695.67,2286.33,2.94,1.33,4.27,0.41,1.81,2.22,2.59,1.49,4.08,7.88,7.38,0.49,2.78,2.43,5.21,-0.65,1.0,0.81,0.76,0.46,70.31
gary clark,2021.0,1379.0,654.0,-3.38,-2.17,-5.55,-1.46,-1.01,-2.47,-3.15,-2.02,-5.17,-0.79,-0.79,0.0,-3.55,-2.79,-6.33,-0.06,1.0,0.13,0.18,0.1,13.92
gary harris,2019.5,3844.5,1868.5,-0.33,-0.07,-0.4,-0.11,0.65,0.54,-0.32,0.08,-0.23,2.67,2.44,0.23,-0.54,0.06,-0.48,0.11,1.0,0.46,0.48,0.23,40.98
gary trent jr,2022.0,5379.0,2647.0,1.11,-0.61,0.5,2.34,-2.32,0.02,1.42,-1.02,0.4,4.26,4.13,0.14,1.58,0.16,1.73,0.34,1.0,0.55,0.48,0.28,45.6
georges niang,2021.5,3345.0,1608.5,0.05,-0.95,-0.9,0.84,2.01,2.85,0.17,-0.43,-0.26,1.9,1.93,-0.03,0.38,-1.07,-0.68,0.24,1.0,0.42,0.44,0.19,37.08
glenn robinson iii,2019.5,2556.0,1216.0,-2.02,-0.98,-3.0,-2.51,-0.6,-3.11,-2.22,-0.95,-3.16,-0.27,-0.22,-0.05,-2.57,-1.23,-3.8,-0.53,1.0,0.26,0.29,0.11,23.61
gordon hayward,2018.0,4596.88,2290.62,1.39,-0.41,0.98,0.76,0.3,1.06,1.34,-0.3,1.04,4.77,4.61,0.16,1.58,-0.27,1.31,0.5,1.0,0.58,0.57,0.32,50.92
