,pos,year,player_name,Ortg,eFG,TS_per,twoPM,porpag,adjoe,adrtg,ogbpm,ast,pts,ast/tov,rimmade/(rimmade+rimmiss),gbpm,test_score
20102,Scoring PG,2014,javier duren,103.6,43.8,53.2,69,2.52688,112.416,102.196,1.39396,3.0,13.9,1.08432427,0.55,2.16364,56.6860855278248
20104,Scoring PG,2010,javier gonzalez,91.5,47.7,51.13,63,1.52438,102.868,93.5895,0.974918,3.6857,9.4857,1.1834762,0.5,2.07429,50.06640101784962
20119,Scoring PG,2021,javion hamlet,108.7,47.5,54.04,119,4.24114,122.847,98.4162,2.783,4.5,15.6071,1.85291932,0.5,2.18526,58.893404700555465
20121,Wing G,2022,javion may,113.5,51.6,51.53,52,1.48509,104.429,95.5856,0.476495,1.1,5.6667,1.9410624,0.64,3.19026,40.42658386122252
20131,Scoring PG,2021,javohn garcia,98.0,49.6,54.44,40,1.51831,102.639,97.4364,-0.162511,2.6,10.4,1.18181811,0.4906,1.69949,47.81522517930796
20138,Wing G,2019,javon bess,112.5,46.9,52.73,106,3.37615,113.973,94.026,2.19218,1.7778,15.25,1.39129755,0.6406,4.38439,48.00343711128623
20139,Scoring PG,2011,javon borum,103.0,46.7,51.09,53,2.08875,103.926,110.285,1.3807,2.8621,13.3103,1.40678302,0.3429,0.184036,46.76562964007098
20147,Wing G,2021,javon freeman liberty,97.4,46.1,49.81,64,2.72396,110.281,96.006,2.3942,2.6429,14.3571,0.94873817,0.6125,3.99631,46.38403124233502
20148,Wing G,2022,javon freeman liberty,111.2,49.0,53.56,127,5.3771,129.725,98.6045,6.51716,3.1667,21.6667,1.46153139,0.5541,7.46059,48.517417736779294
20149,Wing G,2019,javon freeman liberty,99.3,48.0,51.22,95,1.36932,100.118,99.934,-0.288093,2.0,11.0303,1.2452525,0.6091,1.85313,43.96609844981343
20152,Wing G,2021,javon greene,99.4,51.9,55.83,37,1.54267,101.306,93.7077,-0.142928,2.1818,11.5455,0.88889791,0.6458,2.76984,45.06078006155434
20153,Wing G,2019,javon greene,109.8,52.5,58.99,64,1.85384,106.539,99.4529,0.17801,1.1818,9.3636,0.81251292,0.6829,1.97425,48.16481878678114
20157,Scoring PG,2022,javon levi,83.7,35.8,37.11,49,-0.334688,82.0221,100.674,-3.36427,5.1034,5.3793,2.20897718,0.5082,-2.18025,54.66289587733271
20166,Wing G,2014,javon mckay,112.7,49.1,56.43,39,0.820059,99.5458,108.463,-0.637414,1.2903,5.2903,1.3792624,0.5098,0.336397,51.01064844652277
20168,Wing G,2013,javon mckay,83.9,36.4,44.35,22,-0.872882,73.1165,108.34,-3.92926,0.8519,3.1852,0.65717808,0.4286,-4.64499,48.81485306863391
20171,Wing G,2019,javon pickett,90.6,43.0,43.78,61,0.694956,95.2041,97.2567,-1.20287,1.4839,7.7419,0.95834404,0.5065,0.327501,38.37996069890944
20172,Wing G,2020,javon pickett,91.6,42.5,44.59,66,0.432559,90.0063,97.0509,-1.47546,1.3871,6.6129,1.0,0.5679,-1.0371,41.43729167188063
20174,Wing G,2022,javon pickett,98.8,45.8,49.62,111,2.12755,104.499,104.856,-0.581495,1.9032,11.129,1.13461311,0.5896,-0.993002,45.689376534922715
20182,Wing G,2016,javontae hawkins,106.7,54.6,58.81,142,2.61925,113.826,109.627,1.54638,2.1034,17.069,0.75307003,0.6906,-0.326532,43.45153514180646
20183,Wing G,2017,javontae hawkins,97.8,47.8,54.34,107,1.83266,104.783,101.272,-0.313527,0.9677,14.0,0.41664516,0.6349,-0.657795,43.327707205940385
20190,Wing G,2015,javonte green,112.8,53.5,58.32,168,3.2981,122.931,92.9222,5.66444,1.2647,15.4412,0.62318911,0.6429,7.51452,42.43409602746078
20191,Wing G,2013,javonte green,103.1,51.1,53.41,159,2.26277,108.72,94.7162,3.02142,1.4483,14.931,0.66668201,0.6795,4.46775,38.66534018660345
20192,Wing G,2012,javonte green,98.5,48.2,51.1,113,1.41018,103.843,98.2804,0.600095,0.4333,10.3667,0.26529113,0.664,-0.13533,37.55814093817511
20193,Wing G,2014,javonte green,114.2,54.0,57.95,179,3.13128,122.738,103.1,4.92605,1.0312,16.7188,0.5999535,0.6364,5.04667,39.3057906796011
20194,Wing G,2022,javonte johnson,119.0,59.3,60.74,36,2.27729,108.06,106.956,1.54181,0.8438,7.6562,1.28588848,0.58,0.911263,40.48214435892889
20200,Wing G,2021,javonte perkins,115.9,53.2,56.99,94,4.10891,124.049,97.0579,5.00222,1.8095,17.1429,1.26662469,0.697,5.72829,44.53306079250632
20201,Wing G,2020,javonte perkins,112.1,50.3,55.62,109,3.24093,120.279,96.475,3.94745,0.7097,15.0,0.61112548,0.5354,4.75743,40.920949335034976
20211,Scoring PG,2012,javorn farrell,93.3,42.5,46.82,57,0.618796,94.0706,96.5726,-1.12618,2.4444,6.25,1.31341686,0.4719,0.106113,48.601381058271485
