,year,player_name,Ortg,eFG,TS_per,ORB_per,DRB_per,AST_per,FT_per,twoPM,twoP_per,TPM,blk_per,stl_per,ftr,yr,porpag,adjoe,pfr,Rec Rank,adrtg,mp,ogbpm,dgbpm,pts,unk,season,ast/tov,midmade/(midmade+midmiss),drtg,dporpag,stops,bpm,obpm,dbpm,gbpm,rating
37809,2010,ryan kelly,98.0,41.1,42.84,3.1,16.1,10.1,0.667,11,0.423,5,6.2,2.2,13.3,Fr,0.132902,91.8161,6.2,97.0,83.4775,6.2857,-1.75907,5.14982,1.1714,5.17341,4,1.62467194,0.3636,87.6362,0.938486,48.5111,6.45355,-0.020259,6.4738,3.39075,24.76
38111,2013,sam dekker,116.7,57.9,59.67,6.3,11.4,14.1,0.69,68,0.571,50,1.8,1.9,28.7,Fr,3.06724,125.475,2.2,97.8,85.5384,22.2857,6.8034,3.61965,9.5714,10.6914,4,1.27036228,0.3333,91.5261,3.07755,128.848,8.34152,5.05216,3.28936,10.423,23.15
38810,2013,shabazz muhammad,107.1,48.7,52.82,9.9,8.5,5.8,0.711,162,0.463,40,0.4,1.3,39.5,Fr,4.18108,124.768,2.1,99.8,98.5396,30.8438,5.4274,-1.6276,17.875,6.16621,4,0.52942655,0.3628,103.412,2.8948,147.485,1.84634,3.93685,-2.09052,3.7998,27.18
38814,2011,shabazz napier,103.0,45.6,50.7,3.0,7.8,24.1,0.771,54,0.419,46,0.5,4.2,35.6,Fr,1.93403,110.104,3.0,83.8,90.6274,23.8049,2.0609,3.37477,7.8049,8.89296,4,1.65330997,0.3385,97.1752,2.94459,180.847,5.99911,3.60676,2.39235,5.43567,43.45
38824,2018,shai gilgeous alexander,114.1,51.6,57.87,3.2,10.0,28.8,0.822,160,0.5,23,1.7,2.8,46.2,Fr,4.34397,125.039,2.0,94.0,94.6415,33.7297,5.06269,3.04908,14.3784,2.59924,4,1.90907054,0.3768,100.791,4.06009,235.269,7.76378,4.95128,2.8125,8.11177,46.31
38829,2016,shake milton,119.0,58.6,60.29,1.1,8.9,14.0,0.725,61,0.53,52,1.0,1.5,21.5,Fr,2.97578,114.173,1.8,82.2,99.2578,32.6667,2.37572,1.33646,10.5,7.49165,4,1.78262564,0.381,100.473,3.36656,151.802,3.66102,3.04846,0.612566,3.71218,29.83
38900,2012,shane larkin,98.5,43.8,50.37,2.6,8.8,19.2,0.857,41,0.394,32,0.3,3.7,34.5,Fr,1.41794,102.021,2.5,76.8,94.9353,25.625,0.211972,2.446,7.4375,7.42518,4,1.3499733,0.2692,98.5844,2.72926,150.22,3.31989,1.61608,1.70381,2.65798,32.43
39431,2016,skal labissiere,105.5,51.6,54.0,7.3,14.6,3.6,0.661,98,0.521,0,10.3,0.9,32.6,Fr,1.32904,112.492,7.6,99.8,91.4025,15.75,-1.36423,3.46701,6.5833,0.206139,4,0.33336968,0.4621,95.6059,2.03132,118.717,5.09141,0.0929794,4.99843,2.10278,33.27
39473,2010,solomon hill,97.2,50.3,55.04,7.6,12.8,13.5,0.705,70,0.526,4,0.5,1.4,51.7,Fr,1.07081,98.2041,4.4,91.8,98.5153,25.3226,-0.462597,0.618565,6.6774,1.34001,4,0.82537027,0.3651,104.206,2.40132,131.538,1.75843,0.491045,1.26738,0.155969,34.07
39516,2012,spencer dinwiddie,110.6,49.6,57.39,2.9,11.5,12.5,0.81,52,0.377,42,1.1,1.7,59.1,Fr,2.58132,112.621,3.3,73.8,95.9274,27.7353,2.34027,1.7551,10.0294,6.06102,4,1.17013883,0.2778,99.0864,2.91706,159.66,4.20266,2.53048,1.67218,4.09537,48.81
39610,2015,stanley johnson,108.0,50.1,55.1,8.9,19.1,11.6,0.742,131,0.478,43,1.6,3.2,45.6,Fr,3.25537,120.461,3.7,99.6,82.5525,28.4474,4.5269,3.85374,13.7632,6.39449,4,0.7682932,0.4323,86.6693,4.41275,234.531,8.8059,4.11077,4.69513,8.38064,28.74
39818,2014,sterling brown,100.5,53.5,54.41,8.1,14.4,10.1,0.571,43,0.531,17,1.9,2.3,32.8,Fr,0.507345,95.8334,3.3,78.4,92.4842,19.4324,0.580972,2.68652,4.3514,3.93219,4,0.93021856,0.3846,94.41,2.50837,135.892,4.11965,0.857067,3.26258,3.2675,28.37
39926,2013,steven adams,109.7,57.1,55.46,15.3,19.1,5.4,0.443,100,0.571,0,11.2,1.9,40.0,Fr,1.99486,109.998,2.8,99.2,83.1502,23.4062,3.36616,3.72734,7.2188,0.0,4,0.57140248,0.3261,86.5013,3.44551,158.07,9.76937,2.06394,7.70544,7.0935,48.08
40345,2011,tarik black,106.0,52.8,54.67,14.4,11.3,3.2,0.587,122,0.528,0,7.3,2.0,54.5,Fr,1.75354,108.833,5.7,87.8,95.2126,22.6286,0.289426,1.23929,9.0857,0.0,4,0.25534291,0.2615,97.7187,2.46385,150.266,2.89374,0.274618,2.61912,1.52872,27.38
40657,2016,terence davis,95.1,48.3,46.12,4.8,10.0,8.8,0.368,10,0.526,3,1.7,3.0,63.3,Fr,0.155386,94.4083,7.0,66.0,98.9654,6.9474,-2.61878,1.60356,1.8947,4.76564,4,1.199848,0.0,101.163,0.718305,25.8565,0.456218,-0.396528,0.852746,-1.01523,50.1
40803,2011,terrence jones,105.6,47.0,51.17,9.0,22.1,10.3,0.646,180,0.465,26,6.0,2.2,52.1,Fr,3.85608,121.685,3.0,98.4,84.1061,31.4737,3.90817,3.21055,15.6579,3.98144,4,0.79996957,0.3362,89.1825,4.6613,280.458,6.84804,2.62034,4.2277,7.11872,26.18
40814,2011,terrence ross,117.9,53.9,55.56,5.3,12.3,9.6,0.758,58,0.552,44,2.0,1.8,14.3,Fr,2.15818,122.184,4.7,93.8,93.7937,17.4412,4.15216,1.47316,8.0294,11.686,4,1.37498228,0.4167,98.3958,1.99062,110.908,5.56967,4.62625,0.943416,5.62533,38.78
40875,2014,terry rozier,116.0,47.8,50.45,4.4,13.7,16.6,0.712,57,0.422,36,0.3,3.2,22.4,Fr,1.87007,116.836,3.1,94.2,86.7702,18.8919,2.63681,3.84259,7.0,7.93298,4,3.04540849,0.3125,88.9598,2.81317,139.093,6.555,3.29361,3.26139,6.4794,45.81
41074,2010,thomas robinson,88.1,48.5,46.93,17.2,23.0,6.7,0.395,33,0.485,0,7.7,1.7,63.2,Fr,0.271294,96.7849,7.3,94.6,80.6622,7.1212,-4.04083,1.5962,2.5152,0.0,4,0.34610994,0.3214,85.828,1.12428,58.7087,1.9088,-2.19677,4.10557,-2.44464,28.15
41164,2010,tim frazier,89.4,42.0,47.41,2.4,13.2,26.6,0.672,42,0.389,9,0.4,2.6,48.5,Fr,0.597381,95.1235,4.5,66.2,97.3539,18.3871,-3.58086,0.859524,4.9677,2.68245,4,1.40383927,0.3061,101.749,1.85245,101.457,-1.13262,-1.94254,0.809915,-2.72133,31.81
41171,2011,tim hardaway jr,109.8,52.4,56.04,3.0,11.7,12.6,0.761,80,0.479,76,0.6,2.1,31.6,Fr,3.75257,121.503,2.5,68.0,92.5654,30.9118,5.17239,2.06455,14.0294,12.4826,4,1.34093183,0.3396,100.338,3.65885,175.922,6.20685,4.84499,1.36186,7.23695,40.04
41373,2011,tj mcconnell,114.5,56.0,57.57,2.7,11.3,26.6,0.683,91,0.548,36,0.5,5.1,23.2,Fr,2.64628,111.342,2.3,30.6,89.1415,30.7742,2.51592,4.55156,10.6774,5.43696,4,2.43636567,0.4886,90.5968,3.98676,222.705,6.27522,3.36094,2.91428,7.06748,44.05
41412,2013,tj warren,125.4,64.5,63.78,9.6,8.1,5.9,0.542,172,0.632,14,1.5,2.6,24.1,Fr,3.95168,127.619,3.3,95.6,98.7874,26.9714,5.80996,1.28453,12.1429,1.65045,4,0.82355363,0.5,103.595,2.52882,160.227,6.78402,6.21468,0.569337,7.09449,41.94
41437,2011,tobias harris,109.5,48.9,53.96,7.5,20.6,10.4,0.753,162,0.497,23,3.4,1.4,42.3,Fr,3.69915,123.031,2.8,99.0,91.867,29.2059,5.33543,1.37966,15.3235,4.52936,4,0.7096792,0.3661,97.8243,3.5272,197.759,4.80112,2.71068,2.09044,6.7151,45.67
41619,2017,tony bradley,123.3,56.4,58.21,18.2,19.0,7.4,0.616,97,0.564,0,4.6,1.0,57.6,Fr,2.2608,132.834,5.0,95.2,89.8191,14.6053,5.13508,1.73424,7.0789,0.0,4,0.92004869,0.3099,96.9021,1.96324,112.527,8.31686,5.25593,3.06093,6.86932,41.14
41684,2013,tony parker,96.7,54.1,52.49,6.5,13.8,0.9,0.438,33,0.541,0,4.1,0.6,52.5,Fr,0.339754,101.091,10.4,95.4,95.4459,6.2727,-5.32275,0.145565,2.4242,0.0,4,0.1,0.4444,99.5436,0.653063,37.3391,-3.45789,-2.47459,-0.983296,-5.17719,30.6
41696,2011,tony snell,101.2,48.0,51.34,3.4,9.5,9.4,0.735,18,0.409,29,1.2,0.5,26.6,Fr,0.567422,95.7064,2.4,19.6,100.077,17.5758,0.8701,0.0689719,4.4848,8.65807,4,1.03571003,0.3684,103.268,1.61306,83.3956,0.930171,0.699809,0.230362,0.939072,27.28
41719,2012,tony wroten,95.7,45.3,48.83,8.0,9.8,24.5,0.583,189,0.483,9,1.2,3.5,59.1,Fr,2.76456,112.145,3.5,96.4,93.6772,30.3429,2.30166,1.69946,15.9714,2.97052,4,0.98485972,0.3459,97.047,3.41557,215.125,4.17926,1.85641,2.32285,4.00112,19.9
41850,2018,trae young,112.1,51.9,58.62,1.3,9.9,48.3,0.861,143,0.493,118,0.7,2.5,44.4,Fr,7.00052,145.446,2.0,95.6,100.301,35.4062,9.41387,0.738749,27.375,15.0708,4,1.65865722,0.427,106.864,3.53946,216.691,9.94112,9.5331,0.408018,10.1526,55.94
42293,2012,treveon graham,102.6,45.6,50.4,9.5,13.3,7.3,0.633,49,0.445,26,1.7,2.7,62.2,Fr,1.40079,109.929,4.5,21.2,92.3947,16.7778,1.74374,0.693259,7.0,8.38967,4,0.58831002,0.2857,92.0593,1.96313,109.448,2.40636,1.77673,0.629627,2.437,21.31
42443,2012,trey burke,106.6,50.9,54.41,2.3,9.8,29.1,0.748,119,0.492,57,1.3,1.6,30.6,Fr,4.45924,121.176,1.8,81.6,96.2862,36.6364,5.00522,1.0191,15.1818,8.69076,4,1.6774182,0.3716,102.512,3.77885,185.96,5.39436,4.24728,1.14708,6.02433,34.17
42523,2015,trey lyles,112.6,49.6,54.26,9.9,16.1,9.2,0.735,113,0.536,4,2.1,1.4,42.5,Fr,2.47689,118.732,2.8,97.8,80.7753,23.0,3.61558,3.10483,8.6944,2.18574,4,0.92685926,0.3577,85.2659,3.68296,154.613,7.23508,3.72842,3.50666,6.72041,30.85
42668,2011,tristan thompson,107.4,54.6,53.65,13.9,13.6,8.0,0.487,172,0.546,0,7.2,1.8,82.9,Fr,3.18197,116.101,3.6,97.8,84.3695,30.9444,4.0139,3.79762,13.0833,0.0,4,0.70311623,0.3553,88.6309,4.53819,237.951,9.71642,3.73655,5.97987,7.81152,36.83
42709,2010,troy daniels,122.7,52.0,54.0,2.2,9.2,6.8,0.833,3,0.375,15,1.2,0.7,12.2,Fr,0.611269,115.036,3.8,60.4,103.254,6.0385,1.83025,-1.1778,2.1538,15.3637,4,3.00130051,0.1667,102.941,0.484853,21.583,1.10928,3.26198,-2.1527,0.652448,27.51
43001,2014,tyler ennis,114.5,45.3,51.07,2.6,9.0,32.5,0.765,118,0.429,30,0.7,3.9,41.4,Fr,4.27438,123.033,2.3,95.6,92.6229,35.7353,4.48187,3.5142,12.9412,4.5863,4,3.2413389,0.3333,97.6955,4.56203,202.885,6.86227,4.85439,2.00787,7.99607,34.56
43044,2019,tyler herro,118.2,53.6,58.03,1.6,14.0,15.2,0.935,126,0.538,60,1.1,2.0,23.1,Fr,4.19748,124.79,1.6,92.8,90.7113,32.6216,4.61711,3.45699,14.027,8.34073,4,1.5333621,0.4667,96.8156,4.35662,222.631,7.81611,4.78189,3.03422,8.0741,40.94
43066,2011,tyler johnson,91.4,44.5,46.9,8.3,11.2,23.9,0.551,43,0.524,4,2.0,3.9,44.5,Fr,0.295492,91.3415,3.7,29.4,98.8585,16.8333,-0.674299,1.50338,4.1667,3.24643,4,1.36360541,0.3889,99.0642,1.63273,98.5488,0.960649,-0.699336,1.65998,0.82908,34.92
43555,2015,tyus jones,121.8,48.9,57.49,1.8,9.9,27.5,0.889,88,0.44,47,0.2,2.7,50.0,Fr,4.78888,128.348,1.4,98.6,91.4497,33.8974,5.61301,2.78366,11.8205,5.64527,4,2.8552881,0.3274,98.3377,4.202,223.713,8.58766,6.36463,2.22302,8.39666,40.68
43733,2011,victor oladipo,107.3,57.1,58.6,10.9,14.8,10.5,0.612,80,0.593,8,1.5,3.6,52.8,Fr,1.80293,115.24,4.8,73.0,93.8384,18.0,3.56299,1.811,7.375,2.75542,4,0.63636364,0.3684,100.079,2.05868,115.471,5.27156,3.12632,2.14524,5.37399,51.27
44009,2018,wendell carter jr,121.5,59.1,62.81,12.8,23.1,13.0,0.738,160,0.586,19,7.6,1.7,52.7,Fr,4.21939,133.412,4.2,98.8,87.1812,26.8378,5.9064,4.45957,13.5405,2.61512,4,0.98667985,0.4124,92.0353,3.90976,243.593,11.6474,5.02887,6.6185,10.366,36.72
44147,2011,will barton,98.8,47.8,50.18,5.4,12.9,19.5,0.699,128,0.527,39,1.6,2.9,21.3,Fr,1.86938,104.072,3.0,97.6,95.1807,30.5714,1.41282,1.42018,12.3143,7.86742,4,1.11235197,0.3883,97.6859,3.33204,203.291,3.21681,1.36481,1.85201,2.833,36.78
44387,2013,willie cauley stein,103.5,62.1,57.66,12.0,17.2,8.0,0.372,105,0.621,0,8.4,2.1,50.9,Fr,1.75236,106.872,4.1,91.6,87.4122,23.5517,2.19092,3.18567,8.3448,0.0,4,0.56246979,0.3382,90.3763,3.11882,155.769,6.29739,1.47138,4.82601,5.37659,38.29
44836,2017,zach collins,120.6,67.6,70.32,12.2,23.2,4.4,0.743,125,0.672,10,9.8,1.5,71.5,Fr,2.57928,130.93,6.3,94.2,77.1749,17.2308,4.31375,5.66437,10.0,1.74739,4,0.26668833,0.5085,79.0742,3.09468,185.367,9.54386,2.60042,6.94344,9.97812,22.92
44941,2014,zach lavine,107.3,52.4,54.48,2.4,9.5,12.6,0.691,79,0.494,48,0.8,2.1,23.6,Fr,1.84098,110.171,3.2,90.0,98.8807,24.4324,1.46349,0.535932,9.4324,8.06163,4,1.57149149,0.4118,103.564,2.59395,148.504,2.74348,2.46177,0.281707,1.99942,38.83
