,pos,year,player_name,Ortg,eFG,TS_per,twoPM,porpag,adjoe,adrtg,ogbpm,ast,pts,ast/tov,rimmade/(rimmade+rimmiss),gbpm,score
4258,Wing G,2012,bradley beal,112.3,52.5,57.45,112,4.31343,122.37,92.1814,5.27745,2.2432,14.7568,1.05063003,0.6496,7.56367,66.04122245913292
4693,Wing G,2021,brandon rush,115.9,59.2,60.7,64,2.82562,112.935,114.17,4.0575,1.2174,14.3478,0.82351348,0.5926,1.82426,24.44918265813789
5301,Wing G,2017,bruce brown,111.5,51.5,55.94,101,3.36313,118.28,90.4539,3.79755,3.2121,11.8485,1.58208156,0.625,7.66906,60.454868514570016
5537,Wing G,2013,bryn forbes,108.2,52.0,56.46,69,2.60885,111.344,108.954,3.51599,1.0,12.9655,0.61701734,0.551,1.45761,21.3361762615494
5610,Wing G,2013,buddy hield,97.2,43.3,46.66,62,1.43344,101.671,94.38,2.00583,1.8519,7.8148,1.1364138,0.5694,4.15094,52.921108742004265
5611,Wing G,2015,buddy hield,110.2,50.5,54.49,112,4.2531,125.44,87.5904,6.89175,1.9143,17.4286,0.98527975,0.5725,9.47077,52.921108742004265
5612,Wing G,2016,buddy hield,121.5,62.3,66.45,154,6.6609,142.728,94.0957,10.2417,2.027,25.0,0.66369796,0.6685,11.852,52.921108742004265
5613,Wing G,2014,buddy hield,113.7,54.8,56.78,106,3.85182,123.293,100.703,5.6647,1.8788,16.5152,1.03332969,0.6462,6.5508,52.921108742004265
5758,Wing G,2019,caleb martin,111.5,51.7,55.8,94,4.07175,121.822,92.597,5.55645,2.7941,19.2353,1.5079605,0.6333,7.74129,
5759,Wing G,2018,caleb martin,115.8,55.5,58.95,122,4.56829,127.842,99.7825,5.86394,2.5556,18.8333,1.50826251,0.6,6.55833,
6178,Wing G,2015,caris levert,101.1,47.8,52.42,58,3.11843,112.521,94.5529,3.37103,3.7222,14.9444,1.71791208,0.6667,6.69125,50.0497512437811
6179,Wing G,2014,caris levert,111.7,52.0,55.84,103,3.80866,120.81,97.5617,3.97772,2.9459,12.9189,1.75801161,0.6867,5.92454,50.0497512437811
6181,Wing G,2013,caris levert,93.2,38.8,39.73,15,0.28454,92.9324,95.7402,-2.26335,0.7576,2.303,2.50033004,0.4167,-1.73257,50.0497512437811
6631,Wing G,2018,chandler hutchison,106.9,52.5,57.31,156,4.02481,125.594,90.9169,4.82928,3.4516,19.9677,1.02885421,0.697,8.17988,
6634,Wing G,2015,chandler hutchison,94.4,38.2,42.99,23,0.258921,93.7951,95.7621,-3.19884,0.7931,3.1034,1.53344936,0.5238,-1.52072,
7329,Wing G,2012,chris johnson,102.3,46.4,54.14,48,1.26139,109.194,98.3809,1.10272,0.7333,6.6,0.56407692,0.551,0.879228,35.73560767590619
7330,Wing G,2013,chris johnson,108.6,48.8,54.38,84,2.70803,112.452,104.607,2.21425,1.6552,12.5862,1.04350019,0.5765,1.07448,35.73560767590619
8019,Wing G,2011,cj mccollum,104.2,44.7,52.26,162,3.74101,117.904,96.929,5.5615,2.1613,21.8387,0.76136961,0.5315,6.64243,71.37171286425018
8021,Wing G,2010,cj mccollum,115.6,54.1,59.33,131,4.06522,122.751,104.864,6.72617,2.3939,19.1212,1.19694996,0.6404,6.22539,71.37171286425018
8277,Wing G,2018,cody martin,116.5,53.7,56.88,179,4.28797,122.926,97.3842,4.21742,4.6944,14.0556,2.31502103,0.758,6.85781,58.436389481165605
8280,Wing G,2016,cody martin,104.0,47.6,50.04,75,1.14562,100.835,100.179,0.575805,2.2727,6.0303,1.6304613,0.6269,2.91655,58.436389481165605
9322,Wing G,2012,damion lee,113.0,55.4,59.14,79,3.07825,116.349,93.7447,4.54983,1.7222,12.0,1.03329935,0.6337,6.4191,31.982942430703627
9323,Wing G,2015,damion lee,118.4,52.5,60.48,102,5.68791,130.673,102.207,7.99261,2.3333,21.4074,1.25994932,0.5772,8.96923,31.982942430703627
