,pos,year,player_name,Ortg,eFG,TS_per,twoPM,porpag,adjoe,adrtg,ogbpm,ast,pts,ast/tov,rimmade/(rimmade+rimmiss),gbpm,score,test_score,diff
8019,Wing G,2011,cj mccollum,104.2,44.7,52.26,162,3.74101,117.904,96.929,5.5615,2.1613,21.8387,0.76136961,0.5315,6.64243,71.37171286425018,46.231749349355255,-25.13996351489493
8021,Wing G,2010,cj mccollum,115.6,54.1,59.33,131,4.06522,122.751,104.864,6.72617,2.3939,19.1212,1.19694996,0.6404,6.22539,71.37171286425018,47.154918575595474,-24.21679428865471
8277,Wing G,2018,cody martin,116.5,53.7,56.88,179,4.28797,122.926,97.3842,4.21742,4.6944,14.0556,2.31502103,0.758,6.85781,58.436389481165605,58.160916735590035,-0.2754727455755699
8280,Wing G,2016,cody martin,104.0,47.6,50.04,75,1.14562,100.835,100.179,0.575805,2.2727,6.0303,1.6304613,0.6269,2.91655,58.436389481165605,47.71691113563841,-10.719478345527193
9322,Wing G,2012,damion lee,113.0,55.4,59.14,79,3.07825,116.349,93.7447,4.54983,1.7222,12.0,1.03329935,0.6337,6.4191,31.982942430703627,45.08750974797445,13.104567317270824
9323,Wing G,2015,damion lee,118.4,52.5,60.48,102,5.68791,130.673,102.207,7.99261,2.3333,21.4074,1.25994932,0.5772,8.96923,31.982942430703627,51.82567886282335,19.842736432119725
9324,Wing G,2013,damion lee,111.8,51.1,55.98,90,4.04491,121.182,100.738,5.61551,1.8148,17.1481,0.97996654,0.64,5.65612,31.982942430703627,45.70661849286982,13.723676062166195
9325,Wing G,2016,damion lee,117.9,51.4,57.09,91,4.18571,123.892,87.6416,4.04929,1.9667,15.9333,1.17999637,0.65,7.53817,31.982942430703627,48.360064109793825,16.377121679090198
9382,Wing G,2013,damyean dotson,104.9,50.3,52.26,116,2.22854,108.682,91.684,2.41829,0.8919,11.3514,0.64705457,0.6703,4.0364,8.102345415778252,38.53057744543731,30.428232029659057
9383,Wing G,2014,damyean dotson,106.2,48.7,52.47,90,1.79543,110.444,102.443,1.58352,1.2121,9.4242,1.05262705,0.6395,1.23152,8.102345415778252,43.80493034176452,35.702584925986265
9995,Wing G,2010,darius miller,114.2,50.0,52.67,43,1.77453,110.132,92.1621,2.23143,1.5263,6.4737,1.65704041,0.6316,4.89411,42.771855010660985,45.65539888939392,2.8835438787329366
10527,Wing G,2015,david nwaba,96.8,42.8,46.88,95,1.79083,106.853,95.7135,2.08967,1.4583,11.4167,0.9722,0.5789,4.23467,62.37384506041224,43.20889879168006,-19.16494626873218
10528,Wing G,2016,david nwaba,103.3,45.8,50.68,120,2.53564,114.654,107.066,3.70478,3.3929,12.4643,1.61022257,0.5658,3.80412,62.37384506041224,52.6538690857329,-9.719975974679343
10802,Wing G,2016,deandre' bembry,110.7,51.3,53.91,204,4.22179,120.696,93.9216,4.77418,4.4722,17.4167,2.20544419,0.7202,7.89142,40.29850746268657,53.42493645366813,13.126428990981559
